,id,email,gender,Country,Region,Please indicate your company's main area of business,Reason for Attending the Event,What is your company's annual purchasing budget?,What role do you play in the purchasing decision making process?,Which of the following best describes your job function?,Please indicate your company's main area of business_count,Reason for Attending the Event_count,What is your company's annual purchasing budget?_count,What role do you play in the purchasing decision making process?_count,Which of the following best describes your job function?_count
14,67b46049197e604dd2722d4a,tatjana+182_N1PC@bss.mk,F,Russia,Moscow Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
15,67b461e3197e604dd2722d4e,emilija_x3WF@bss.com.mk,F,North Macedonia,,,Personal interest,,,,0,1,0,0,0
16,67b46415197e604dd2722d55,emilija+01_I7vH@bss.com.mk,F,Russia,Amur Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
17,67b46590197e604dd2722d5a,emilija+2_02Wi@bss.com.mk,F,Russia,Leningrad Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
18,67b46946197e604dd2722d5d,emilija+3_CmwU@bss.com.mk,F,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
19,67b47714197e604dd2722d69,daniela.p+200_IzcX@bss.com.mk,F,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
20,67b47738197e604dd2722d6b,emilija+100_zbmO@bss.com.mk,F,Russia,Kamchatka Region,Travel Agent,To source products and services,,No influence,Media,1,1,0,1,1
21,67b47874197e604dd2722d6f,daniela.p+201_Fwae@bss.com.mk,M,Russia,Ivanovo Region,Tour Operator,To promote products and services,Up to 1 million rubles,Sole responsibility,Visa support,1,1,1,1,1
22,67b484a9197e604dd2722d72,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,M,Russia,Moscow,Event management,To obtain general information,,Advisory role,Sales,1,1,0,1,1
23,67b5e0f7774d9e718c7541db,3990147_SeNs@gmail.com,M,Somalia,,Tour Operator,To source products and services,,No influence,,1,1,0,1,0
24,67b5e25c774d9e718c7541de,sergey.usenko_ucwx@ite.group,F,New Zealand,,,Personal interest,,,,0,1,0,0,0
25,67b5f1392d21f543a10965f1,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,M,Russia,Moscow Region,Tour Operator,To source products and services,Up to 1 million rubles,Joint responsibility,Visa support,1,1,1,1,1
26,67b708f32d21f543a10965fa,tanja+202_99oJ@bss.mk,F,Russia,Moscow,Accommodation Provider,To source products and services,1 - 5 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
27,67b709442d21f543a10965fe,emilija+101_jj3C@bss.com.mk,F,Russia,Kamchatka Region,Travel Agent,To obtain general information,,No influence,Sales,1,1,0,1,1
28,67b70a9f2d21f543a1096602,emilija+100_L8gA@bss.mk,F,Russia,Komi Republic,Travel Agent,To obtain general information,,No influence,Media,1,1,0,1,1
29,67b70c7a2d21f543a1096605,daniela.p+202_Rw2b@bss.com.mk,F,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
30,67b70e142d21f543a1096609,daniela.p+203_NfBj@bss.com.mk,F,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
31,67bcb979966b8de398095c90,tanja+242_B3fl@bss.com.mk,F,North Macedonia,,Travel Agent,To source products and services,1 - 5 million rubles,Joint responsibility,Sales,1,1,1,1,1
32,6k29ezb4owiomwpfb12502zq,tanja+182_jiPa_Nfsx@bss.com.mk,F,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
33,7ibrdat3zwe6vjvb0sv29jks,daniela.p+150_YhiF_SxIe@bss.com.mk,F,North Macedonia,,Travel Agent,To promote products and services,Up to 1 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
34,7z4ymlbvgu3ct7w8qjeaycts,daniela.p+202_Rw2b_MtGK@bss.com.mk,F,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
35,870504t2mvyphtv5p2rpqzhu,aleksandar.dimkov+mitt1_n5eA_UbFT@bss.com.mk,M,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
36,8iqywq3m81tjxwfrd0jijyth,daniela.p+202_Rw2b_20IK@bss.com.mk,M,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
37,8lgk75oddjwupbeoh3j4r1rx,sergey.usenko_ucwx_ar23@ite.group,M,New Zealand,,,Personal interest,,,,0,1,0,0,0
38,8oyg0bjxvux1vlfakoiaj7jv,emilija_x3WF_b5QU@bss.com.mk,M,North Macedonia,,,Personal interest,,,,0,1,0,0,0
39,aj19tvz00ofz9t18chg8dm1r,emilija_x3WF_2hGj@bss.com.mk,F,North Macedonia,,,Personal interest,,,,0,1,0,0,0
40,aldevuzj7ns6u2d627eq2q5g,emilija+2_02Wi_sEkD@bss.com.mk,M,Russia,Leningrad Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
41,aq4v0kee568ttej8iiemf43d,tanja+182_jiPa_ARQM@bss.com.mk,M,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
42,awomj46ol5mlowhbdqavxwoj,aleksandar.dimkov+mitt1_n5eA_tzip@bss.com.mk,F,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
43,azs5ghtuwudyxwstbltb0xiz,daniela.p+150_YhiF_NqPH@bss.com.mk,M,North Macedonia,,Travel Agent,To promote products and services,Up to 1 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
44,bcmmerckywgc6llx4kxyr1le,emilija+3_CmwU_xccV@bss.com.mk,F,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
45,bqg1ucjqk14u5av22n0jfhjb,aleksandar.dimkov+mitt10_V0iB_21BI@bss.com.mk,F,Russia,Moscow Region,Tour Operator,To source products and services,Up to 1 million rubles,Joint responsibility,Visa support,1,1,1,1,1
46,d06cnxqs2ghe6egg635797eb,emilija+3_CmwU_NYnU@bss.com.mk,F,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
47,e8bxsksz9xo25tg7tvo7z2ho,tanja+182_jiPa_MVxX@bss.com.mk,M,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
48,f9l91z1a20tmyrx0lk7tcbw0,daniela.p+203_NfBj_R5H7@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
49,fi1h2gygfcwed97ls0e0c31v,tanja+182_jiPa_jNR0@bss.com.mk,M,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
50,fnj1fly0ua1tiuvc9pvp5m3r,emilija+2_02Wi_QBD0@bss.com.mk,M,Russia,Leningrad Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
51,fo9fdaazpqxsftbbgkrxi6w6,daniela.p+203_NfBj_zBgp@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
52,fs2j657x3gpu9hs8v3vuvgz0,emilija+100_L8gA_Ur8T@bss.mk,F,Russia,Komi Republic,Travel Agent,To obtain general information,,No influence,Media,1,1,0,1,1
53,fs5gjd2k2z3o2gif5gni04rs,tanja+182_jiPa_H11i@bss.com.mk,F,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
54,fxtyirzcqhb0t8w66n1rrg1u,emilija_x3WF_Ge24@bss.com.mk,M,North Macedonia,,,Personal interest,,,,0,1,0,0,0
55,gultwxcgf4l0k3psuryptsg2,daniela.p+150_YhiF_OH5e@bss.com.mk,M,North Macedonia,,Travel Agent,To promote products and services,Up to 1 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
56,gvlehw939njjmi3fs5c43a7p,emilija+3_CmwU_tbhk@bss.com.mk,M,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
57,h6m3ppqa2ui8z922ddkcrdxz,tanja+182_Ahsx_hqUn@bss.mk,F,North Macedonia,,IT solutions for travel industry,To promote products and services,1 - 5 million rubles,Sole responsibility,,1,1,1,1,0
58,hcrco3j3ndo542hbg2twb0np,tanja+202_99oJ_VzXA@bss.mk,F,Russia,Moscow,Accommodation Provider,To source products and services,1 - 5 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
59,i6uv2n0jfrqxhuh90fl90cfv,emilija+101_jj3C_g3J8@bss.com.mk,M,Russia,Kamchatka Region,Travel Agent,To obtain general information,,No influence,Sales,1,1,0,1,1
60,ifuk295cot2nvgcd9m6ees78,emilija+100_zbmO_4ZQ4@bss.com.mk,M,Russia,Kamchatka Region,Travel Agent,To source products and services,,No influence,Media,1,1,0,1,1
61,ip5ylx2a6dts3f5lak2q2mi3,emilija+100_zbmO_lsjt@bss.com.mk,M,Russia,Kamchatka Region,Travel Agent,To source products and services,,No influence,Media,1,1,0,1,1
62,j4pb9w5u35nzubtiagk5a61l,emilija+101_jj3C_mXlu@bss.com.mk,F,Russia,Kamchatka Region,Travel Agent,To obtain general information,,No influence,Sales,1,1,0,1,1
63,je2onetovfvjq9eheqd1innr,emilija+01_I7vH_TpD9@bss.com.mk,M,Russia,Amur Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
64,jucfn0c2jtisba29n87e4evt,daniela.p+200_IzcX_pGIR@bss.com.mk,F,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
65,kae434rtpet3dnb8g3khop04,sergey.usenko_ucwx_DprR@ite.group,M,New Zealand,,,Personal interest,,,,0,1,0,0,0
66,ktctiej7lv5fikf9ej8tbbdc,emilija+3_CmwU_XhuG@bss.com.mk,M,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
67,ku23k0nqh4urfx3qbmm7e2sy,aleksandar.dimkov+mitt1_n5eA_c8O2@bss.com.mk,M,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
68,kyxbogwp6p8ixqs8ds25v2w6,daniela.p+203_NfBj_TkuP@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
69,m8scogphlixjvlwkks009zl9,daniela.p+151_o4q3_Mt3G@bss.com.mk,M,Russia,Leningrad Region,,Personal interest,,,,0,1,0,0,0
70,mabr1wv773qmje0ttq0qwtbg,sergey.usenko_ucwx_BVBu@ite.group,F,New Zealand,,,Personal interest,,,,0,1,0,0,0
71,mv0j9yovwhgmtif9l1naciko,daniela.p+200_IzcX_CIHU@bss.com.mk,M,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
72,nbaqmxp4ox9elnfzdq0fykn8,daniela.p+203_NfBj_WAMQ@bss.com.mk,F,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
73,nvark7mbo9mzipyrs3b05ni5,emilija+100_L8gA_7JBa@bss.mk,F,Russia,Komi Republic,Travel Agent,To obtain general information,,No influence,Media,1,1,0,1,1
74,nwgueloa1n8u9v2eegzvfamb,daniela.p+201_Fwae_HTYS@bss.com.mk,M,Russia,Ivanovo Region,Tour Operator,To promote products and services,Up to 1 million rubles,Sole responsibility,Visa support,1,1,1,1,1
75,nzv2hgwyl8q24ej1kettdg8t,sergey.usenko_ucwx_aQ8I@ite.group,M,New Zealand,,,Personal interest,,,,0,1,0,0,0
76,o1qflq1vwy0ysoicvlsg1ftt,tatjana+182_N1PC_oo6l@bss.mk,F,Russia,Moscow Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
77,q6d3mph828gjpg1cu7vsqkx4,daniela.p+203_NfBj_DuMy@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
78,qy1d6nap87vjj61bqyu9ru50,emilija+2_02Wi_UXK5@bss.com.mk,F,Russia,Leningrad Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
79,rh5y4efxr5rhh3m5u178w86t,tanja+182_jiPa_YaEw@bss.com.mk,F,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
80,rns6tfx45xfd4zrrzjufi688,emilija+01_I7vH_eEKa@bss.com.mk,M,Russia,Amur Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
81,sl0pqtnqavydiqidf8nxzrea,3990147_SeNs_09Hr@gmail.com,F,Somalia,,Tour Operator,To source products and services,,No influence,,1,1,0,1,0
82,sou8pmpid2soba8goi4y1p5x,daniela.p+202_Rw2b_Oi3B@bss.com.mk,M,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
83,szwocc75sg060he43kny1pzv,aleksandar.dimkov+mitt10_V0iB_UmV3@bss.com.mk,M,Russia,Moscow Region,Tour Operator,To source products and services,Up to 1 million rubles,Joint responsibility,Visa support,1,1,1,1,1
84,tcnfl4z60xouv3fk3w66wtcc,emilija+01_I7vH_AxF5@bss.com.mk,M,Russia,Amur Region,Travel Agent,To source products and services,,No influence,,1,1,0,1,0
85,ti4o4ov436gn8yp3j1c61svm,daniela.p+203_NfBj_8KQ3@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
86,u5wwl65fybur92b90c3hswao,emilija+101_jj3C_nsLJ@bss.com.mk,M,Russia,Kamchatka Region,Travel Agent,To obtain general information,,No influence,Sales,1,1,0,1,1
87,unfq2oxirwh1d7iqfgqxwdcd,aleksandar.dimkov+mitt10_V0iB_GLVX@bss.com.mk,M,Russia,Moscow Region,Tour Operator,To source products and services,Up to 1 million rubles,Joint responsibility,Visa support,1,1,1,1,1
88,uud1nluegdqmisnfzpg75iqg,daniela.p+200_IzcX_QOfF@bss.com.mk,M,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
89,vf4ns9sm2nfsdesl31l9rgc5,emilija_x3WF_SgHa@bss.com.mk,M,North Macedonia,,,Personal interest,,,,0,1,0,0,0
90,vgobo8s5ikba7uxggs4oeuzg,aleksandar.dimkov+mitt1_n5eA_J2i8@bss.com.mk,F,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
91,wgf8glx8axdaq94290uynav9,3990147_SeNs_mVZi@gmail.com,F,Somalia,,Tour Operator,To source products and services,,No influence,,1,1,0,1,0
92,wzh3p4rs1362l62x4dh2dikd,daniela.p+202_Rw2b_ZF2k@bss.com.mk,M,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
93,xodwfemcnbuqzq632xnlrxt6,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,F,Russia,Moscow,Event management,To obtain general information,,Advisory role,Sales,1,1,0,1,1
94,xy1nr3sp1vp7r17vtxyg683k,daniela.p+202_Rw2b_0LXC@bss.com.mk,M,Russia,Moscow,Travel Agent,To source products and services,Up to 1 million rubles,Joint responsibility,Marketing,1,1,1,1,1
95,y10ilgiji2mozv41r1uvfwo2,daniela.p+200_IzcX_vB6s@bss.com.mk,M,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
96,y67npjis9odvv7cgl9867epq,aleksandar.dimkov+mb1_Xc8j_vvSH@bss.com.mk,M,Russia,Moscow,Event management,To obtain general information,,Advisory role,Sales,1,1,0,1,1
97,yxyhdns9mr7s3k8wdhbd7n5k,daniela.p+201_Fwae_AK8l@bss.com.mk,M,Russia,Ivanovo Region,Tour Operator,To promote products and services,Up to 1 million rubles,Sole responsibility,Visa support,1,1,1,1,1
98,yzc27c0f8w2ortjytg54wtmh,tanja+182_Ahsx_Lcd6@bss.mk,M,North Macedonia,,IT solutions for travel industry,To promote products and services,1 - 5 million rubles,Sole responsibility,,1,1,1,1,0
99,zcf116neh1ny42asu75xy0h2,emilija+100_zbmO_xln3@bss.com.mk,F,Russia,Kamchatka Region,Travel Agent,To source products and services,,No influence,Media,1,1,0,1,1
